,index,BBCWorld,CBSNews,CNN,FoxNews,nytimes
0,99,0.0,0.0,0.1779,0.0,0.6369
1,98,0.0,0.0,0.0,0.4019,0.0
2,97,-0.7906,-0.296,0.0,0.6808,0.431
3,96,-0.8225,0.2023,0.4939,0.0,0.4404
4,95,0.0,-0.5994,-0.34,0.1027,-0.5423
5,94,-0.7717,0.128,-0.6597,-0.6908,-0.4019
6,93,-0.2263,-0.5423,0.296,-0.3818,-0.2183
7,92,-0.4588,0.3612,0.0,-0.2732,-0.3818
8,91,0.124,0.3089,0.34,-0.2732,0.6369
9,90,0.0,0.0,-0.4939,-0.6908,0.6652
10,89,-0.7003,-0.5423,0.0,-0.5106,0.802
11,88,-0.8979,0.0,-0.7579,-0.6908,0.0
12,87,-0.7351,0.0,0.807,-0.4023,-0.34
13,86,-0.5267,0.0,-0.5994,0.0,0.0
14,85,0.0,0.0,-0.4939,0.6249,0.0
15,84,0.5859,0.7003,-0.4767,-0.4019,0.2023
16,83,0.4019,0.4215,-0.85,0.3182,0.6369
17,82,0.34,-0.2263,0.0,0.0,-0.6808
18,81,-0.5719,0.2732,0.2263,0.7351,0.6486
19,80,-0.4019,0.4019,0.0,0.3818,0.3612
20,79,0.0,-0.5897,0.4019,0.0,0.0
21,78,0.7244,-0.7269,0.0,-0.8225,-0.5994
22,77,-0.7184,0.6249,0.0,0.0,-0.5994
23,76,-0.4215,-0.128,-0.4767,-0.0572,0.2732
24,75,0.0,0.4019,0.0,0.4215,-0.4939
25,74,-0.6808,-0.7351,0.0,0.7096,0.5267
26,73,-0.6486,0.0,-0.4019,0.0,-0.0258
27,72,-0.25,0.0,0.4019,0.3818,0.0
28,71,-0.5423,0.4404,0.4019,0.0,-0.3774
29,70,0.0,0.7906,0.0,0.5719,-0.8074
30,69,0.0,0.4215,0.0,0.0,0.0
31,68,-0.7579,-0.3182,0.0,0.0,-0.7003
32,67,-0.4019,0.0,0.0,0.0,0.1298
33,66,-0.4215,0.0,0.0,0.3818,0.4404
34,65,-0.4019,0.0,-0.3818,0.0,0.0
35,64,-0.5994,0.0,-0.2023,-0.7096,0.5106
36,63,-0.4404,-0.9042,-0.3612,0.0,0.296
37,62,0.0,0.6597,-0.85,-0.25,0.5574
38,61,0.0772,0.4019,0.3818,0.3612,-0.1639
39,60,-0.5267,0.0,0.0,0.1027,0.5574
40,59,0.0,0.0,0.7579,-0.3089,0.5719
41,58,-0.7845,0.0,-0.6705,0.0,0.0
42,57,-0.6597,-0.3182,0.0,-0.6908,0.4019
43,56,-0.6808,-0.8176,0.296,-0.5267,-0.7845
44,55,-0.4215,0.0,0.0,-0.25,0.2584
45,54,0.0,0.4019,0.0,0.0,0.0
46,53,0.3182,0.5994,-0.765,-0.3582,-0.3182
47,52,0.0,0.0,0.2023,0.3182,0.0
48,51,0.0,-0.6808,0.0,0.0,-0.5423
49,50,-0.8387,0.128,-0.4939,-0.34,0.0
50,49,0.0,0.0,-0.34,-0.4023,-0.4588
51,48,-0.6369,0.0,0.0,0.0,0.6369
52,47,-0.1027,-0.4404,-0.4391,0.0,0.0
53,46,-0.5994,0.4767,0.0,-0.296,0.0
54,45,0.0,0.0,-0.34,-0.2732,0.0
55,44,0.0,0.5719,0.0,-0.3612,0.0
56,43,-0.4767,0.0,-0.296,0.4019,-0.7269
57,42,0.0,-0.7841,-0.5994,0.4767,0.2732
58,41,0.3182,0.0,-0.6705,0.0,0.0
59,40,0.0,-0.3182,-0.4215,0.0,0.0
60,39,0.4881,0.0,0.2263,-0.7351,0.3182
61,38,0.0,-0.7717,-0.3818,0.0,0.0
62,37,-0.4939,0.5574,-0.6113,0.0,-0.3818
63,36,0.0,0.0,0.128,0.6808,0.34
64,35,0.4588,-0.228,-0.4026,-0.4019,0.8481
65,34,-0.6705,-0.6705,0.836,0.4939,0.4939
66,33,0.0258,-0.7269,0.0,0.6369,0.3818
67,32,0.5859,0.0,0.0,0.0,0.0
68,31,0.2023,-0.6486,0.0,-0.7351,0.6369
69,30,-0.6249,0.0,0.0,0.0,0.2023
70,29,-0.5106,-0.34,-0.2732,0.0,-0.25
71,28,0.0,0.0,-0.6597,0.4019,0.6369
72,27,0.0,-0.6705,-0.3626,0.0,0.8225
73,26,0.0,0.0,0.2732,0.0,0.0
74,25,-0.128,-0.5267,0.0,0.3182,0.0
75,24,0.0,0.3612,-0.5423,0.4939,0.7508
76,23,0.0,0.0,0.0,0.34,0.0
77,22,-0.4767,-0.6369,-0.6124,0.6808,0.0
78,21,0.0,0.0,0.0,-0.3582,-0.5106
79,20,0.0,0.4215,0.0,0.0,0.0
80,19,0.4881,0.0,0.2263,-0.7351,0.3182
81,18,0.0,-0.7717,-0.3818,0.0,0.0
82,17,-0.4939,0.5574,-0.6113,0.0,-0.3818
83,16,0.0,0.0,0.128,0.6808,0.34
84,15,0.4588,-0.228,-0.4026,-0.4019,0.8481
85,14,-0.6705,-0.6705,0.836,0.4939,0.4939
86,13,0.0258,-0.7269,0.0,0.6369,0.3818
87,12,0.5859,0.0,0.0,0.0,0.0
88,11,0.2023,-0.6486,0.0,-0.7351,0.6369
89,10,-0.6249,0.0,0.0,0.0,0.2023
90,9,-0.5106,-0.34,-0.2732,0.0,-0.25
91,8,0.0,0.0,-0.6597,0.4019,0.6369
92,7,0.0,-0.6705,-0.3626,0.0,0.8225
93,6,0.0,0.0,0.2732,0.0,0.0
94,5,-0.128,-0.5267,0.0,0.3182,0.0
95,4,0.0,0.3612,-0.5423,0.4939,0.7508
96,3,0.0,0.0,0.0,0.34,0.0
97,2,-0.4767,-0.6369,-0.6124,0.6808,0.0
98,1,0.0,0.0,0.0,-0.3582,-0.5106
99,0,0.0,0.4215,0.0,0.0,0.0
